,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
France,FRA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,23.4,23.2,25.9,27.8,33.2,35,36.2,36.4,36.6,36.6,36.8
Faroe Islands,FRO,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia, Fed. Sts.",FSM,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,GAB,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.1,12.1,12.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,24.5
United Kingdom,GBR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,19.7,16.6,23.3,28.9,28.8,29,40.3,39.9,39.9,39.9,42.1
Georgia,GEO,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,6.4,6.4,6.4,6.4,6.4,7.2,7.2,7.2,8.5,8.5,17.4
Ghana,GHA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.7,7.7,7.7,7.7,7.7
Gibraltar,GIB,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,13.2,13.2,13.2,13.2,13.2,13.2,0.1,0.1,0,0,0.5
Guinea,GIN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,21.4,21.4,21.4,24.8,24.8,24.8,24.9,26.1,26.1,26.1,26.2
"Gambia, The",GMB,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2.9,2.9,2.9,2.9,2.9
Guinea-Bissau,GNB,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,10.3,11.5,11.6,11.6,11.6,11.6,13.2,13.2,13.4,13.4,13.2
Equatorial Guinea,GNQ,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.1,2.1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Greece,GRC,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,8.6,8.6,8.6,8.6,11,11,11,11,11,11,11.2
Grenada,GRD,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Greenland,GRL,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,22.4,22.4,22.5,22.4,22.4,22.4,22.4,22.6,22.4,22.4,22.6
Guatemala,GTM,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,15.7,15.7,15.7,15.7,10.1,10.1,10.1,10.1,10.1,10.1,10.2
Guam,GUM,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0
Guyana,GUY,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.1
High income,HIC,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48489681,13.78193788,14.54782879,16.17241522,16.60326696,17.19447286,18.04918094,18.45450483,17.97211891,18.18052747,18.26249263,18.66106202
"Hong Kong SAR, China",HKG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,42.1,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,42
Honduras,HND,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,12.2,12.2,12.4,12.4,10.9,10.9,11,11,11,11,11.2
Heavily indebted poor countries (HIPC),HPC,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4536961,12.64169395,12.96764868,13.49392204,13.70019611,13.66896953,13.0187179,13.28817703,13.35507069,13.36565694,13.422468,13.58555355
Croatia,HRV,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,23.7,23.7,23.5,23.6,23.6,23.6,23.9,23.9,23.9,23.9,24.1
Haiti,HTI,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.3,0.4,2.5,2.5,2.8,2.8,2.8,3
Hungary,HUN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6
IBRD only,IBD,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.07479191,10.36471352,10.05864636,11.31899363,11.45145047,12.67710232,13.53715262,14.13118352,14.32270172,14.57678362,14.65380588,14.88114733
IDA & IBRD total,IBT,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52493468,9.669220347,9.465941405,10.42746026,10.55091674,11.40893923,11.9172261,12.39640363,12.54285133,12.72141077,12.80140058,13.02979562
IDA total,IDA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.209289199,8.035865127,8.073982758,8.333707609,8.436026864,8.430677361,8.218272754,8.435193172,8.467958006,8.473611904,8.560395802,8.791202994
IDA blend,IDB,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.221331843,7.086507187,7.07813159,7.220692468,7.220692468,7.224497272,7.251719193,7.229659462,7.234253782,7.220983806,7.420096133,8.099293005
Indonesia,IDN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,5.1,5.1,5.1,5.1,5.3,5.3,5.3,5.3,5.3,5.3,5.2
IDA only,IDX,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.480033517,8.289936671,8.340497034,8.631577846,8.761280252,8.753480831,8.467926981,8.74657435,8.786615437,8.797157243,8.85492747,8.969918649
Isle of Man,IMN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3.7,3.7,5.5,5.5,5.5,5.5,5.5,5.8,4.6
India,IND,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.4,4.4,4.4,4.5
Not classified,INX,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.4,4,4,4,4,4,4,4,4,4,4.1
"Iran, Islamic Rep.",IRN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.5,6.5,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
Iraq,IRQ,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.9,0.9,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Iceland,ISL,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.3,2.3,2.4,2.5,2.5,2.7,2.8,2.8,2.9,2.9,2.9
Israel,ISR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,8.6,8.6,8.6,8.6,8.6,10.5,10.5,10.5,10.5,10.5,12.2
Italy,ITA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,11.3,11.3,13.3,13.3,13.4,13.3,14,14.5,14.5,14.5,14.6
Jamaica,JAM,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.6,1.6,1.6
Jordan,JOR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.7,1.7,1.8,1.8,1.8,3.1,4.5,4.5,4.5,4.5,5.4
Japan,JPN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.1,2.1,10,10,10,10,10,15.2,15.2,15.2,15.1
Kazakhstan,KAZ,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.2,3.2,3.2,3.2,3.2,3.2,11.7,11.7,11.7,11.7,11.9
Kenya,KEN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,10.3,10.3,10.5,10.5,10.5,10.5,10.5,10.5,10.3,10.3,11.8
Kyrgyz Republic,KGZ,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.5,6.5,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8
Cambodia,KHM,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,20.6,20.6,20.6,20.6,20.6,20.6,31.8,31.8,31.8,31.8,31.8
Kiribati,KIR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.9
St. Kitts and Nevis,KNA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,4.5,4.5,4.5,4.5,4.5,4.8
"Korea, Rep.",KOR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.6,2.6,3.9,3.9,4,5.5,5.8,5.9,5.9,5.9,5.8
Kuwait,KWT,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,11.2,11.2,11,11,11,10.7,10.7,10.7,10.7,11.4,11.5
Latin America & Caribbean (excluding high income),LAC,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.76216205,14.90425546,14.53674495,16.45448801,16.6566666,20.0462291,20.57588414,20.59796705,20.67539364,21.11444568,21.19357345,21.90655471
Lao PDR,LAO,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,16.7,16.7,16.7,16.7,16.7,16.7,18.7,18.7,18.7,19,18.8
Lebanon,LBN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9,0.9,1,1,1,1,1,0.8,0.8,0.8,2.9
Liberia,LBR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.8,0.8,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Libya,LBY,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2
St. Lucia,LCA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1
Latin America & Caribbean,LCN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.83003588,13.71876501,13.44587161,15.68416529,15.98633407,20.0490175,21.65665983,21.87391977,22.06062749,22.78730855,22.84835778,23.38035099
Least developed countries: UN classification,LDC,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.33946658,10.01517047,10.0695223,10.43800001,10.59983667,10.60605856,10.19666881,10.60527066,10.65567531,10.66894558,10.88737538,11.02489472
Low income,LIC,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.157793776,8.886591469,8.996597295,9.336631889,9.556301612,9.59303646,8.820580432,9.479527202,9.469208255,9.470799154,9.470799154,9.709014243
Liechtenstein,LIE,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,42.2,42.2,42.2,11.9,11.9,42.2,42.6,42.6,42.6,42.6,44.8
Sri Lanka,LKA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.6,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
Lower middle income,LMC,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.507769887,9.411505799,8.880265304,9.074093297,9.109635064,9.112031839,9.16599979,8.933741349,9.085340479,9.091830923,9.364049151,9.542791539
Low & middle income,LMY,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.484866245,9.88545777,9.625428757,10.22621794,10.36902073,11.02763211,11.07302,11.27576787,11.4450642,11.55526864,11.65698977,11.96002744
Lesotho,LSO,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,21.3,23.4
Late-demographic dividend,LTE,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.792145372,11.83476856,11.28896907,11.76450787,11.94582978,13.81433994,14.78093442,15.64382861,15.67159108,15.86569151,15.90003002,16.39337258
Lithuania,LTU,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,16.4,16.9,17.3,17.7,17.8,17.8,17.8,17.8,17.8,17.8,18.3
Luxembourg,LUX,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,34.9,32.5,42,40.9,40.9,51.2,51.2,51.3,55.8,55.8,38.7
Latvia,LVA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,17.8,17.8,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.9
"Macao SAR, China",MAC,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.2,3.2,92.3,92,92,92,92,92,92,92,92.3
Morocco,MAR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,59.7,18.5,18.5,18.5,18.4,18.4,2.8,1.6,1.6,1.6,1.4
Monaco,MCO,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,99.5,99.4,99.5,99.4,99.4,99.2,99.2,99.2,99.5
Moldova,MDA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,11.4,11.4,11.4,11.5
Madagascar,MDG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.9,1.9,2,2.4,2.3,2.3,3.1,3.1,3.1,3.1,5.1
Maldives,MDV,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.171040966,10.66457857,8.811056802,5.513249692,5.622436969,5.639690801,5.657289689,4.675373933,4.649007802,4.659282897,6.045272983,7.744450085
Mexico,MEX,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6.3,6.3,19.1,19.1,18.9,18.9,18.9,18.9,19,19,19.9
Marshall Islands,MHL,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Middle income,MIC,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.531350418,10.02628202,9.714083987,10.35163542,10.48359504,11.22987642,11.41836953,11.55117188,11.74800725,11.87486459,11.99218186,12.30515828
North Macedonia,MKD,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,9.7,9.7,9.7,9.7,9.7,10.6,9,12.5,15.4,15.4,28.2
Mali,MLI,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,8.3,8.3,8.2,8.2,8.2,8.2,7.5,7.5,7.5,7.5,7.5
Malta,MLT,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,6.4,6.4,6.4,7.6,7.6,7.6,7.6,7.6,8
Myanmar,MMR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.1,4.1,4.1,4.2,4.6,3.8,3.9,3.9,3.9,3.9,4
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.797598483,8.199881592,5.833929587,6.059893385,6.051091261,6.055368725,6.065171236,4.796352574,4.72697919,4.72697919,4.727809894,5.198078608
Montenegro,MNE,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,2.6,2.6,2.6,4.2,4.2,6.9,9,9,9.2,9.2,16.1
Mongolia,MNG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,17.4,17.4,17.4,17.7,17.7,17.7,19.8,19.8,19.8,19.8,19.8
Northern Mariana Islands,MNP,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,100,33.2,33.2,33.2,33.2,33.2,32,33.1,33.1,32.2,32.4
Mozambique,MOZ,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.9,12.1,13.4,13.5,13.4,13.4,18,18,18,18,18
Mauritania,MRT,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1
